Total,80,80,81,82,84,,,,,
Primaria,y,Circulos,Infantiles,53,53,54,55,56,,
De,ellas,Primarias,29,29,29,29,30,,,
Urbana,20,20,20,20,20,,,,,
Rural,9,9,9,9,9,,,,,
Media,15,15,15,15,16,,,,,
Secundaria,basica,8,8,8,8,8,,,,
De,ello:,En,el,campo,1,1,1,1,1,
Preuniversitario,3,3,3,3,4,,,,,
De,ello:,En,el,campo,-,1,1,1,1,
Ciencias,exactas,1,1,1,1,1,,,,
Técnica,y,profesional,3,3,3,3,3,,,
De,ello:,Escuelas,de,oficios,-,:,0,0,0,
Escuela,de,Formacién,de,Personal,Pedagégico,1,1,1,1,1
Escuelas,de,Arte,1,1,1,1,1,,,
Escuelas,de,Deporte,2,2,2,2,2,,,
Adultos,5,5,5,5,5,,,,,
Educacién,Obrero,Campesina,-,-,0,0,0,,,
Facultad,Obrero,Campesina,4,4,4,4,4,,,
Idiomas,1,1,1,1,1,,,,,
Especial,4,4,4,4,4,,,,,
